"","UID","Hg_ngg","Hg_mgkg","sample_type","date_collected","mass_w_bag","bag","mass","sex","age","reproductive.status"
"60","OK324",201.844,0.201844,"feces","18-Jun-23",45,31,14,"female","adult","pregnant"
"61","OK329",143.723,0.143723,"feces","18-Jun-23",44,30,14,"female","adult","pregnant"
"62","OK330",147.715,0.147715,"feces","18-Jun-23",41,31,10,"female","adult","lactating"
"63","OK332",200.436,0.200436,"feces","19-Jun-23",43,31,12,"female","adult","lactating"
"64","OK334",251.101,0.251101,"feces","19-Jun-23",42,29,13,"female","adult","lactating"
"65","OK335",245.614,0.245614,"feces","19-Jun-23",44,30,14,"female","adult","pregnant"
"66","OK336",234.653,0.234653,"feces","19-Jun-23",41,29,12,"female","adult","lactating"
"67","OK337",218.698,0.218698,"feces","19-Jun-23",41,27,14,"female","adult","pregnant"
"68","OK338",235.512,0.235512,"feces","19-Jun-23",41,30,11,"female","adult","pregnant"
"69","OK339",140.571,0.140571,"feces","19-Jun-23",43,31,12,"female","adult","lactating"
"70","OK341",136.009,0.136009,"feces","19-Jun-23",42,30,12,"female","adult","nonreproductive"
"71","OK342",185.464,0.185464,"feces","19-Jun-23",43,30,13,"female","adult","lactating"
"72","OK343",113.397,0.113397,"feces","19-Jun-23",43,31,12,"female","adult","lactating"
"73","OK344",166.269,0.166269,"feces","19-Jun-23",44,31,13,"female","adult","nonreproductive"
"74","OK346",265.363,0.265363,"feces","19-Jun-23",48,32,16,"female","adult","pregnant"
"75","OK348",116.458,0.116458,"feces","19-Jun-23",42,30,12,"female","adult","nonreproductive"
"78","OK398",286.863,0.286863,"feces","18-Jul-23",41.5,29,12.5,"female","adult","lactating"
"79","OK399",430.38,0.43038,"feces","18-Jul-23",45,32.5,12.5,"female","adult","lactating"
"80","OK401",109.218,0.109218,"feces","18-Jul-23",39.5,30,9.5,"male","juvenile","nonreproductive"
"81","OK402",284.585,0.284585,"feces","18-Jul-23",39,30.5,8.5,"male","juvenile","nonreproductive"
"82","OK403",236.491,0.236491,"feces","18-Jul-23",43,32,11,"female","adult","lactating"
"83","OK404",124.884,0.124884,"feces","18-Jul-23",43.5,31,12.5,"female","adult","postlactating"
"84","OK405",211.715,0.211715,"feces","18-Jul-23",43,30.5,12.5,"female","adult","lactating"
"85","OK407",155.313,0.155313,"feces","18-Jul-23",38,28,10,"female","juvenile","nonreproductive"
"86","OK408",104.034,0.104034,"feces","18-Jul-23",40,29,11,"male","juvenile","nonreproductive"
"87","OK409",168.251,0.168251,"feces","18-Jul-23",41.5,29.5,12,"female","adult","postlactating"
"88","OK410",260.748,0.260748,"feces","18-Jul-23",43.5,31,12.5,"female","adult","lactating"
"89","OK411",194.059,0.194059,"feces","18-Jul-23",44,33,11,"female","adult","lactating"
"90","OK412",189.474,0.189474,"feces","18-Jul-23",41.5,31,10.5,"female","adult","postlactating"
"91","OK413",121.622,0.121622,"feces","18-Jul-23",43,32.5,10.5,"female","juvenile","nonreproductive"
"92","OK414",362.262,0.362262,"feces","18-Jul-23",NA,NA,NA,"female","adult","lactating"
"93","OK415",247.28,0.24728,"feces","18-Jul-23",43,32,11,"female","adult","postlactating"
"94","OK417",155.459,0.155459,"feces","18-Jul-23",40.5,29,11.5,"female","adult","postlactating"
"95","OK418",266.441,0.266441,"feces","18-Jul-23",41,29,12,"female","adult","lactating"
"96","OK419",151.007,0.151007,"feces","18-Jul-23",40.5,29,11.5,"female","adult","lactating"
"97","OK421",145.079,0.145079,"feces","18-Jul-23",47,30,17,"female","adult","lactating"
"98","OK422",151.972,0.151972,"feces","18-Jul-23",40,27,13,"female","adult","lactating"
"99","OK423",114.313,0.114313,"feces","18-Jul-23",39,29.5,9.5,"female","adult","lactating"
"100","OKUNK",146.54,0.14654,"feces","unknown",NA,NA,NA,"unknown",NA,NA
